start_min,end_min,speed_mean,speed_std,dir_mean,dir_std
0,120,4.5,1.0,87.5,10.0
120,240,8.5,1.38,274.5,15.0
240,360,9.5,1.75,156.5,20.0
360,480,7.5,2.12,18.0,25.0
480,600,15.5,2.5,328.0,30.0
600,720,15.5,2.5,298.5,30.0
720,840,10.0,2.5,356.0,30.0
840,960,9.0,2.5,337.5,30.0
960,1080,8.0,2.5,284.0,30.0
1080,1200,13.5,2.5,253.5,30.0
1200,1320,18.0,2.5,232.0,30.0
1320,1440,16.5,2.5,300.0,30.0
1440,1560,19.0,2.5,297.5,30.0
1560,1680,17.5,2.5,266.0,30.0
1680,1800,15.5,2.5,336.5,30.0
1800,1920,16.5,2.5,30.5,30.0
1920,2040,10.0,2.5,332.0,30.0
2040,2160,8.0,2.5,283.0,30.0
2160,2280,8.5,2.5,343.0,30.0
2280,2400,6.5,2.5,342.5,30.0
2400,2520,7.5,2.5,247.0,30.0
2520,2640,7.0,2.5,242.0,30.0
2640,2760,6.0,2.5,235.0,30.0
2760,2880,0.5,2.5,275.0,30.0
2880,3000,0.0,2.5,247.5,30.0
3000,3000,1.0,2.5,106.0,30.0
