strategy,n_runs,mean_norm_area,std_norm_area,se_norm_area,mean_norm_bldg,std_norm_bldg,se_norm_bldg,mean_composite,std_composite,se_composite
MCTS,10,0.4261500972028798,0.15154979469090243,0.04792425301541452,0.16625563491581427,0.15481250032858507,0.048956011130389436,0.25288712234483607,0.1375465832427889,0.043496048742116176
Structures–Outcome (Mean),10,0.5615757151628666,0.21860411320103232,0.06912869035965441,0.30950048153464105,0.2586244785359446,0.08178424108469141,0.3935255594107162,0.23794211357948686,0.07524390301856583
Structures–Outcome (Truth),10,0.6506914266879692,0.20645078263832442,0.06528546978614512,0.2905778944190582,0.17739643138026623,0.056097677194740875,0.41061573850869515,0.17548897451212137,0.05549448637055394
Wind–Truth Lookahead,10,0.6197841954368535,0.06326473698943551,0.020006066445811998,0.33669812698714735,0.18220401711573467,0.057617969291802476,0.4310601498037161,0.13066021145064938,0.04131838677432652
Wind–Mean Lookahead,10,0.6578660431109369,0.06301458014268599,0.019926959905010585,0.3718574702479188,0.16982048299389588,0.053701951961060104,0.46719366120225814,0.12907775642527722,0.04081797055683097
ROS–Mean,10,0.7331665996251319,0.1064634051902976,0.033666684785873244,0.47154709833126984,0.203697791452586,0.06441489753361501,0.5587535987625573,0.14396347204126003,0.04552524715163517
Structures–Exposure,10,0.7252454785821797,0.1320774286535278,0.041766550204353395,0.48239950615022337,0.14110857149435685,0.044622448329487724,0.5633481636275421,0.12402935280483236,0.03922152515798637
Random Allocation,10,0.7285449344961806,0.17631026166795333,0.05575420017310101,0.5198645900826789,0.3014552077300109,0.09532850689460315,0.5894247048871795,0.25269579862579566,0.0799094278812761
ROS–Truth,10,0.7387297457783538,0.09350962455826407,0.029570339675133096,0.5164935348911213,0.2449744590662291,0.07746772592169694,0.5905722718535321,0.17228614365509498,0.0544816623237067
Wind–Mean,10,0.8172963690287796,0.08207969942280956,0.025955879983808605,0.749918378879749,0.16875471172009388,0.05336492549206078,0.7723777089294258,0.12758538198235495,0.04034604032068503
Wind–Truth,10,0.8136037392967601,0.08931289095494514,0.028243215983187756,0.768045035000533,0.15920652443521752,0.050345523557453954,0.783231269765942,0.1204462998788722,0.038088464335689895
