strategy,n_runs,mean_norm_area,std_norm_area_x,mean_norm_bldg,std_norm_bldg_x,mean_composite,std_composite_x,std_norm_area_y,se_norm_area,std_norm_bldg_y,se_norm_bldg,std_composite_y,se_composite
MCTS,100,0.597559577008619,0.1732305909666971,0.46802786834457133,0.19929518074878924,0.5112051045659205,0.18164943868618086,0.1732305909666971,0.01732305909666971,0.19929518074878924,0.019929518074878923,0.18164943868618086,0.018164943868618087
Structures–Outcome (Truth),100,0.6859227031318237,0.15161269361940705,0.5053234071706731,0.20554976101543163,0.5655231724910567,0.18267676751704537,0.15161269361940705,0.015161269361940705,0.20554976101543163,0.020554976101543165,0.18267676751704537,0.018267676751704535
Structures–Outcome (Mean),100,0.765252597562585,0.10862134452552803,0.6221744528018752,0.14728769739357364,0.6698671677221119,0.12847606185212646,0.10862134452552803,0.010862134452552803,0.14728769739357364,0.014728769739357364,0.12847606185212646,0.012847606185212652
Structures–Exposure,100,0.765495805941906,0.10205423266424739,0.6392096538847042,0.13831324861833116,0.6813050379037713,0.11918964930707848,0.10205423266424739,0.010205423266424736,0.13831324861833116,0.013831324861833116,0.11918964930707848,0.011918964930707848
ROS–Mean,100,0.7642784232265513,0.11139812820015717,0.6521774925666626,0.14977305234761124,0.6895444694532921,0.13180892249275009,0.11139812820015717,0.011139812820015716,0.14977305234761124,0.01497730523476112,0.13180892249275009,0.013180892249275008
Wind–Truth,100,0.7337799139230852,0.12433565088993179,0.6687095864088622,0.16120124485692278,0.6903996955802699,0.14344810261555616,0.12433565088993179,0.012433565088993176,0.16120124485692278,0.01612012448569228,0.14344810261555616,0.014344810261555615
Wind–Mean,100,0.7330053454665488,0.12772039694623227,0.6691303426275748,0.1625833002617787,0.690422010240566,0.1456823245777562,0.12772039694623227,0.01277203969462323,0.1625833002617787,0.016258330026177867,0.1456823245777562,0.014568232457775623
Random Allocation,100,0.7398675942083334,0.14069756243402007,0.666130852441103,0.15818123629343742,0.6907097663635132,0.14709713113354356,0.14069756243402007,0.014069756243402013,0.15818123629343742,0.015818123629343744,0.14709713113354356,0.014709713113354356
ROS–Truth,100,0.7665841092411566,0.12937494903317398,0.6588000670277221,0.16226263373336192,0.6947280810988669,0.14635944010806043,0.12937494903317398,0.012937494903317392,0.16226263373336192,0.016226263373336193,0.14635944010806043,0.014635944010806048
Wind–Mean Lookahead,100,0.7571466118500798,0.11726865005053541,0.6952146196862407,0.15374155151039862,0.715858617074187,0.13472561371268943,0.11726865005053541,0.011726865005053542,0.15374155151039862,0.015374155151039858,0.13472561371268943,0.013472561371268944
Wind–Truth Lookahead,100,0.7580087278235897,0.1207958723304635,0.7021076928682297,0.1414483364349737,0.720741371186683,0.12806399977894112,0.1207958723304635,0.012079587233046347,0.1414483364349737,0.014144833643497372,0.12806399977894112,0.012806399977894106
