strategy,wins,dataset
ics_buildings,6,Marshall (Low Uncertainty)
ics_dynamic,3,Marshall (Low Uncertainty)
ics_dynamic_mean,2,Marshall (Low Uncertainty)
ics_dynamic_mean_lookahead,0,Marshall (Low Uncertainty)
ics_dynamic_truth_lookahead,1,Marshall (Low Uncertainty)
ics_mean_burned_buildings,1,Marshall (Low Uncertainty)
ics_ros_weighted,3,Marshall (Low Uncertainty)
ics_ros_weighted_mean,6,Marshall (Low Uncertainty)
ics_truth_burned_buildings,18,Marshall (Low Uncertainty)
mcts,60,Marshall (Low Uncertainty)
random,2,Marshall (Low Uncertainty)
ics_buildings,6,Marshall (High Uncertainty)
ics_dynamic,1,Marshall (High Uncertainty)
ics_dynamic_mean,2,Marshall (High Uncertainty)
ics_dynamic_mean_lookahead,3,Marshall (High Uncertainty)
ics_dynamic_truth_lookahead,3,Marshall (High Uncertainty)
ics_mean_burned_buildings,7,Marshall (High Uncertainty)
ics_ros_weighted,4,Marshall (High Uncertainty)
ics_ros_weighted_mean,3,Marshall (High Uncertainty)
ics_truth_burned_buildings,23,Marshall (High Uncertainty)
mcts,51,Marshall (High Uncertainty)
random,0,Marshall (High Uncertainty)
